hpo_id,hpo_name,feature,direction,arm,n_patients,n_gold_patients,z,se,p,rank,n_features,q,direction_ok,passed,specific
HP:0000327,Hypoplasia of the maxilla,midface_width,-1,GOLD,3,3,-0.534298589815884,0.5546228400056946,0.4370149708370154,49.0,120,0.5705979055950937,False,False,False
HP:0000664,Synophrys,eb_inter_distance,-1,GOLD,105,105,-0.6104204986465891,0.10373640999929191,4.919798898144524e-08,13.0,120,2.6004651318763914e-07,False,False,False
HP:0000161,Median cleft upper lip,lip_midline_x_std,1,GOLD,1,1,-0.620423625205987,,,87.0,120,,False,False,False
HP:0000293,Full cheeks,cheek_area_mean,1,GOLD,38,38,-0.6743003674869626,0.11236236572119572,6.256725292314853e-07,6.0,120,2.5722092868405503e-06,False,False,False
HP:0000324,Facial asymmetry,face_asymmetry,1,GOLD,8,8,-0.6870581080185321,0.18636956090465678,0.007792140892564717,43.0,120,0.017473285637872395,False,False,False
HP:0000341,Narrow forehead,forehead_width_upper,-1,GOLD,28,28,-0.7497875591264714,0.1941591057441609,0.0006373371528429333,3.0,120,0.0018139595888606562,False,False,False
HP:0010806,U-Shaped upper lip vermilion,mouth_upper_curvature_c2,1,GOLD,2,2,-0.7773919019528067,0.22928754064173748,,14.0,120,,False,False,False
HP:0000537,Epicanthus inversus,eye_epicanthus_angle_mean,-1,GOLD,1,1,-0.8357567276059524,,,51.0,120,,False,False,False
HP:0045074,Thin eyebrow,eb_thickness_mean,-1,GOLD,4,4,-0.9781803344182777,0.626833219642335,0.21655077323310407,32.0,120,0.31421092586764116,False,False,False
HP:0000446,Narrow nasal bridge,nose_bridge_width,-1,GOLD,15,15,-1.0438719632217102,0.2529677086915633,0.0010275791719743985,8.0,120,0.0027157449545037672,False,False,False
