disease,a,b,cosine,flagged
AAR,AAR.2,AAR.5,0.6990347,False
CRA,CRA.1,CRA.2,0.69917023,False
RHO,RHO.2,RHO.5,0.699937,False
PTEN,PTEN.4,PTEN.5,0.70029,False
OCH,OCH.3,OCH.5,0.7014705,False
MAR,MAR.2,MAR.3,0.7018192,False
ROB,ROB.2,ROB.4,0.70382047,False
MPS,MPS.3,MPS.5,0.7041032,False
MUL,MUL.1,MUL.3,0.7058685,False
CAN,CAN.3,CAN.4,0.7060935,False
ART,ART.3,ART.4,0.7064931,False
MOW,MOW.2,MOW.5,0.7075285,False
TUR,TUR.1,TUR.4,0.70847505,False
DOO,DOO.2,DOO.3,0.7088328,False
COF,COF.1,COF.3,0.7104958,False
PON,PON.3,PON.4,0.71131337,False
BOH,BOH.1,BOH.5,0.71151614,False
RHO,RHO.1,RHO.3,0.71325207,False
APE,APE.2,APE.4,0.7137751,False
BAI,BAI.4,BAI.5,0.7144012,False
BOH,BOH.2,BOH.3,0.718244,False
ALPM,ALPM.4,ALPM.5,0.72000575,False
MAR,MAR.3,MAR.5,0.7204698,False
MOW,MOW.2,MOW.3,0.7208282,False
MOW,MOW.1,MOW.5,0.7209044,False
PRIM,PRIM.2,PRIM.3,0.7216289,False
CLOU,CLOU.4,CLOU.5,0.7231391,False
CAH,CAH.2,CAH.3,0.7238189,False
DON,DON.3,DON.5,0.72495073,False
MOW,MOW.3,MOW.5,0.72540605,False
MBO,MBO.2,MBO.5,0.72570974,False
SUL,SUL.1,SUL.4,0.7258651,False
SUL,SUL.1,SUL.3,0.7267205,False
MOW,MOW.1,MOW.3,0.7269325,False
ALS,ALS.3,ALS.4,0.7271924,False
SPO,SPO.1,SPO.2,0.7272116,False
BAI,BAI.3,BAI.4,0.72785145,False
OCH,OCH.2,OCH.5,0.72793525,False
APE,APE.1,APE.5,0.72820204,False
PRIM,PRIM.3,PRIM.4,0.72840995,False
RHO,RHO.4,RHO.5,0.7298635,False
CHU,CHU.2,CHU.3,0.7333914,False
COF,COF.2,COF.4,0.73375285,False
ODO,ODO.2,ODO.4,0.73419464,False
SIA,SIA.1,SIA.2,0.7350677,False
ZEL,ZEL.2,ZEL.3,0.73570776,False
BAI,BAI.2,BAI.3,0.73728406,False
ALPH,ALPH.1,ALPH.3,0.73758876,False
BART,BART.3,BART.4,0.7377801,False
ALPM,ALPM.1,ALPM.3,0.7387859,False
JUV,JUV.2,JUV.3,0.73913544,False
COD,COD.1,COD.5,0.7393582,False
PTEN,PTEN.3,PTEN.4,0.74035823,False
AIC,AIC.1,AIC.5,0.7420918,False
LEP,LEP.5,LEP.7,0.7433794,False
CLOU,CLOU.3,CLOU.5,0.74380255,False
CSY,CSY.2,CSY.5,0.7460807,False
IMMU,IMMU.2,IMMU.3,0.74626684,False
OCH,OCH.1,OCH.5,0.7480285,False
KRA,KRA.1,KRA.4,0.74832666,False
CSY,CSY.3,CSY.5,0.7487362,False
ALS,ALS.2,ALS.3,0.74885654,False
BAI,BAI.2,BAI.4,0.74992776,False
CLE,CLE.2,CLE.5,0.75060385,False
ALPM,ALPM.1,ALPM.2,0.751186,False
OST,OST.1,OST.4,0.75256395,False
BARB,BARB.3,BARB.4,0.7539669,False
COF,COF.2,COF.5,0.75424826,False
RES,RES.1,RES.2,0.75437444,False
OCU,OCU.3,OCU.5,0.75438935,False
ODO,ODO.1,ODO.4,0.754659,False
WAL,WAL.3,WAL.4,0.7555388,False
MPS,MPS.3,MPS.4,0.75560325,False
BOH,BOH.1,BOH.4,0.7558061,False
ALPM,ALPM.3,ALPM.4,0.7559993,False
CER,CER.1,CER.3,0.75669897,False
MARI,MARI.2,MARI.4,0.7570225,False
GEO,GEO.2,GEO.5,0.7585259,False
SPI,SPI.3,SPI.5,0.75954604,False
AURI,AURI.3,AURI.5,0.7616396,False
CLE,CLE.2,CLE.4,0.76208246,False
CER,CER.1,CER.4,0.7623831,False
SIA,SIA.1,SIA.5,0.7629825,False
USHB,USHB.3,USHB.5,0.7637188,False
CLE,CLE.1,CLE.5,0.7641048,False
BEC,BEC.2,BEC.3,0.7645892,False
BARB,BARB.2,BARB.4,0.7659333,False
ART,ART.1,ART.3,0.7661828,False
LEP,LEP.1,LEP.5,0.7666638,False
ROB,ROB.1,ROB.5,0.7681585,False
LOE,LOE.1,LOE.5,0.76840454,False
MBO,MBO.2,MBO.3,0.7685837,False
COF,COF.2,COF.3,0.7689482,False
ALPM,ALPM.2,ALPM.5,0.7703298,False
CLOU,CLOU.2,CLOU.3,0.7719909,False
PTEN,PTEN.2,PTEN.4,0.7724626,False
GEO,GEO.1,GEO.2,0.77366036,False
CUS,CUS.1,CUS.4,0.7737027,False
MOR,MOR.2,MOR.5,0.7741231,False
COD,COD.1,COD.2,0.77433294,False
MBO,MBO.3,MBO.4,0.7747401,False
MOW,MOW.2,MOW.4,0.7753452,False
AURI,AURI.2,AURI.4,0.7756805,False
OST,OST.4,OST.5,0.7763117,False
GEO,GEO.2,GEO.3,0.7770122,False
WAR,WAR.1,WAR.5,0.7778276,False
ROB,ROB.1,ROB.3,0.77798474,False
AURI,AURI.1,AURI.3,0.7782497,False
CRIS,CRIS.1,CRIS.5,0.77864915,False
CLE,CLE.4,CLE.5,0.7788849,False
WAR,WAR.3,WAR.5,0.7797488,False
COND,COND.2,COND.4,0.78090656,False
CLOU,CLOU.2,CLOU.4,0.7809613,False
ALPH,ALPH.2,ALPH.5,0.78134096,False
AAR,AAR.1,AAR.5,0.7814567,False
CLOU,CLOU.2,CLOU.5,0.7815801,False
COD,COD.1,COD.3,0.78222847,False
OCU,OCU.2,OCU.4,0.78250015,False
OCU,OCU.3,OCU.4,0.7840807,False
BOH,BOH.3,BOH.4,0.78470224,False
CER,CER.2,CER.3,0.7855934,False
APE,APE.2,APE.5,0.7875122,False
SUL,SUL.4,SUL.5,0.78825027,False
DOO,DOO.1,DOO.5,0.78972024,False
SPI,SPI.2,SPI.5,0.78981256,False
MUL,MUL.2,MUL.3,0.7902093,False
CER,CER.2,CER.4,0.7915139,False
FANC,FANC.4,FANC.5,0.7918358,False
BART,BART.1,BART.3,0.7918618,False
AURI,AURI.2,AURI.3,0.7931793,False
OCH,OCH.4,OCH.5,0.7936426,False
COND,COND.3,COND.4,0.7938846,False
ALL,ALL.1,ALL.2,0.7942393,False
PRIM,PRIM.1,PRIM.5,0.7944678,False
WAR,WAR.1,WAR.3,0.7947934,False
COF,COF.1,COF.4,0.7957368,False
GLU,GLU.3,GLU.4,0.79577816,False
ALL,ALL.2,ALL.5,0.79764175,False
COD,COD.1,COD.4,0.7979062,False
COF,COF.1,COF.5,0.8006904,False
BARB,BARB.4,BARB.5,0.8010044,False
BOH,BOH.4,BOH.5,0.8011383,False
COD,COD.3,COD.4,0.801399,False
CER,CER.1,CER.2,0.8015474,False
MPS,MPS.1,MPS.5,0.8019111,False
ART,ART.4,ART.5,0.80210125,False
VAN,VAN.2,VAN.5,0.8030923,False
CRA,CRA.3,CRA.4,0.80320495,False
KRA,KRA.2,KRA.5,0.8037366,False
BOH,BOH.2,BOH.4,0.8044864,False
PON,PON.3,PON.5,0.8058414,False
BAI,BAI.1,BAI.5,0.8059544,False
ART,ART.1,ART.2,0.8067814,False
PTEN,PTEN.1,PTEN.4,0.8068625,False
MOW,MOW.3,MOW.4,0.80708647,False
CLE,CLE.1,CLE.3,0.8075141,False
CAN,CAN.3,CAN.5,0.8082967,False
WAL,WAL.4,WAL.5,0.8085245,False
HYPO,HYPO.1,HYPO.5,0.80910087,False
OCH,OCH.2,OCH.3,0.8106499,False
MBO,MBO.1,MBO.3,0.81086844,False
CSY,CSY.1,CSY.5,0.8110804,False
WAR,WAR.4,WAR.5,0.8113474,False
ZEL,ZEL.3,ZEL.4,0.8120919,False
ALPM,ALPM.2,ALPM.3,0.8125934,False
EPIE,EPIE.2,EPIE.5,0.8129146,False
WAR,WAR.2,WAR.4,0.81313694,False
OST,OST.2,OST.4,0.8150592,False
MAR,MAR.2,MAR.5,0.81516314,False
ART,ART.1,ART.4,0.8153901,False
WAR,WAR.2,WAR.3,0.8157356,False
WAR,WAR.2,WAR.5,0.8170655,False
CLE,CLE.1,CLE.2,0.81789637,False
CRIS,CRIS.2,CRIS.5,0.8187878,False
SIC,SIC.3,SIC.4,0.8192585,False
ART,ART.2,ART.5,0.82005274,False
ALS,ALS.4,ALS.5,0.82059133,False
CUS,CUS.1,CUS.2,0.820696,False
EPIE,EPIE.1,EPIE.5,0.82085085,False
COD,COD.2,COD.3,0.8211041,False
TYR,TYR.2,TYR.5,0.8218185,False
SPO,SPO.1,SPO.5,0.82182026,False
CRIS,CRIS.2,CRIS.3,0.8219792,False
