disease,a,b,cosine,flagged
TEMP,TEMP.1,TEMP.5,0.93095255,False
PAR,PAR.1,PAR.2,0.9311286,False
MAR,MAR.1,MAR.2,0.9313649,False
ALLA,ALLA.2,ALLA.5,0.9318476,False
CRA,CRA.1,CRA.5,0.9319711,False
PRIM,PRIM.2,PRIM.5,0.9322083,False
MOR,MOR.1,MOR.5,0.9323085,False
MAP,MAP.1,MAP.2,0.9323573,False
OCH,OCH.1,OCH.2,0.93370533,False
OCU,OCU.1,OCU.4,0.93393576,False
TYR,TYR.2,TYR.3,0.93472356,False
BOY,BOY.1,BOY.2,0.93567276,False
CHU,CHU.1,CHU.2,0.93630815,False
TYR,TYR.1,TYR.4,0.9365249,False
ALP,ALP.2,ALP.5,0.93717,False
PON,PON.2,PON.3,0.9378169,False
AURI,AURI.4,AURI.5,0.9378376,False
MAP,MAP.3,MAP.5,0.9383996,False
LEP,LEP.2,LEP.5,0.9385633,False
PRO,PRO.3,PRO.5,0.93901676,False
TYR,TYR.3,TYR.4,0.9397136,False
PAR,PAR.2,PAR.3,0.9397691,False
ODO,ODO.3,ODO.5,0.9400528,False
IMMU,IMMU.3,IMMU.5,0.94037235,False
LOE,LOE.3,LOE.5,0.9407835,False
ALP,ALP.1,ALP.3,0.94106555,False
DOO,DOO.2,DOO.5,0.94195193,False
COND,COND.1,COND.4,0.94202346,False
MARI,MARI.1,MARI.2,0.942025,False
ANG,ANG.1,ANG.3,0.9422719,False
LOE,LOE.1,LOE.4,0.9423005,False
PRO,PRO.1,PRO.5,0.9425893,False
TYR,TYR.2,TYR.4,0.9429715,False
POM,POM.4,POM.5,0.94307125,False
ZEL,ZEL.1,ZEL.3,0.94308513,False
FANC,FANC.2,FANC.3,0.94322574,False
WAL,WAL.1,WAL.5,0.9432383,False
SAND,SAND.1,SAND.2,0.94341296,False
BEC,BEC.3,BEC.4,0.9440241,False
CHU,CHU.1,CHU.3,0.94435894,False
MARI,MARI.1,MARI.5,0.9443905,False
ALL,ALL.1,ALL.4,0.9446556,False
MAP,MAP.2,MAP.3,0.94532174,False
WAL,WAL.1,WAL.4,0.9455069,False
CYS,CYS.1,CYS.2,0.945811,False
DOO,DOO.4,DOO.5,0.94614875,False
LEP,LEP.1,LEP.2,0.94643,False
JOUA,JOUA.1,JOUA.2,0.94651103,False
DIA,DIA.2,DIA.5,0.9465406,False
HYPO,HYPO.2,HYPO.4,0.9467522,False
CYS,CYS.4,CYS.5,0.9469193,False
AAR,AAR.1,AAR.4,0.94715834,False
IMMU,IMMU.1,IMMU.3,0.94759476,False
ANG,ANG.3,ANG.5,0.9476576,False
OCU,OCU.4,OCU.5,0.9479813,False
KAW,KAW.2,KAW.4,0.9481286,False
TYR,TYR.1,TYR.3,0.94837344,False
CAH,CAH.2,CAH.5,0.94861627,False
KAW,KAW.2,KAW.5,0.94872487,False
ZEL,ZEL.2,ZEL.5,0.94928557,False
MOR,MOR.3,MOR.5,0.9492915,False
ATYP,ATYP.2,ATYP.4,0.94932777,False
ANG,ANG.1,ANG.4,0.9494547,False
LOE,LOE.3,LOE.4,0.9502378,False
TEMP,TEMP.2,TEMP.5,0.9503858,False
SPI,SPI.3,SPI.4,0.9503981,False
MAR,MAR.1,MAR.3,0.95082724,False
AAR,AAR.3,AAR.5,0.9510486,False
AURI,AURI.1,AURI.4,0.951604,False
JOUA,JOUA.2,JOUA.3,0.9516622,False
VAN,VAN.1,VAN.2,0.95176053,False
COND,COND.1,COND.3,0.9519688,False
SAND,SAND.2,SAND.5,0.95303166,False
AAR,AAR.1,AAR.3,0.9540973,False
PRI,PRI.1,PRI.2,0.9543137,False
DYS,DYS.1,DYS.2,0.95473474,False
USHB,USHB.2,USHB.4,0.95524746,False
KRA,KRA.3,KRA.5,0.9556623,False
CAN,CAN.1,CAN.4,0.95616364,False
USHB,USHB.2,USHB.3,0.9569004,False
PON,PON.2,PON.4,0.95704097,False
HYPO,HYPO.3,HYPO.5,0.9573161,False
REN,REN.1,REN.3,0.95775235,False
SAND,SAND.2,SAND.4,0.9577957,False
ALP,ALP.2,ALP.3,0.9580246,False
IMMU,IMMU.4,IMMU.5,0.95944685,False
AIC,AIC.1,AIC.2,0.9600003,False
CAH,CAH.1,CAH.5,0.9600301,False
TUR,TUR.3,TUR.5,0.9610044,False
PTEN,PTEN.1,PTEN.2,0.9610946,False
AAR,AAR.4,AAR.5,0.9612492,False
GLU,GLU.2,GLU.4,0.96154886,False
ALLA,ALLA.2,ALLA.3,0.9615573,False
POM,POM.3,POM.5,0.9627302,False
LEI,LEI.3,LEI.4,0.9628116,False
MUL,MUL.4,MUL.5,0.96318495,False
DIA,DIA.2,DIA.4,0.9633209,False
FANC,FANC.1,FANC.2,0.96417904,False
ANG,ANG.2,ANG.5,0.9643346,False
REN,REN.1,REN.2,0.9644034,False
PRO,PRO.3,PRO.4,0.9645406,False
TEMP,TEMP.1,TEMP.4,0.9645551,False
GLU,GLU.1,GLU.4,0.9646049,False
BEC,BEC.1,BEC.4,0.9649658,False
CHU,CHU.3,CHU.4,0.96556705,False
MAP,MAP.3,MAP.4,0.9658541,False
CHU,CHU.2,CHU.4,0.96690875,False
ALL,ALL.2,ALL.4,0.9672416,False
ANG,ANG.4,ANG.5,0.9672417,False
BART,BART.1,BART.4,0.9673407,False
LOE,LOE.2,LOE.5,0.96823627,False
LOE,LOE.1,LOE.2,0.9682715,False
CAN,CAN.2,CAN.5,0.96849954,False
OCU,OCU.1,OCU.2,0.96858346,False
PON,PON.1,PON.2,0.9699763,False
CAN,CAN.1,CAN.2,0.9700506,False
ALP,ALP.3,ALP.5,0.9708246,False
PRU,PRU.1,PRU.2,0.9708781,False
OST,OST.2,OST.3,0.97133696,False
PRO,PRO.2,PRO.4,0.9724782,False
POM,POM.2,POM.4,0.9726965,False
TUR,TUR.4,TUR.5,0.9739506,False
CER,CER.4,CER.5,0.9747985,False
POM,POM.2,POM.5,0.9763402,False
MARI,MARI.3,MARI.4,0.97714466,False
GLU,GLU.1,GLU.2,0.9774221,False
KAW,KAW.1,KAW.3,0.9776003,False
ATA,ATA.1,ATA.2,0.97771347,False
ALLA,ALLA.4,ALLA.5,0.97788846,False
VAN,VAN.1,VAN.5,0.9793238,False
TYR,TYR.3,TYR.5,0.97934806,False
HYPO,HYPO.4,HYPO.5,0.97939444,False
ATYP,ATYP.4,ATYP.5,0.9795924,False
MARI,MARI.3,MARI.5,0.9818108,False
WOL,WOL.1,WOL.3,0.98186207,False
OCU,OCU.1,OCU.3,0.9828189,False
CRA,CRA.2,CRA.3,0.98446333,False
CAH,CAH.3,CAH.5,0.9869731,False
BEC,BEC.4,BEC.5,0.98699903,False
MUL,MUL.1,MUL.2,0.9875529,False
GLU,GLU.2,GLU.3,0.988068,False
PRO,PRO.1,PRO.4,0.9892323,False
ZEL,ZEL.3,ZEL.5,0.9895369,False
MARI,MARI.1,MARI.4,0.98982185,False
MAR,MAR.1,MAR.4,0.9901969,False
ALS,ALS.1,ALS.2,0.99049187,False
COND,COND.2,COND.5,0.9919978,False
CYS,CYS.2,CYS.4,0.992008,False
TYR,TYR.4,TYR.5,0.9929638,False
DOP,DOP.1,DOP.2,0.993301,False
GEO,GEO.4,GEO.5,0.9939164,False
ATYP,ATYP.1,ATYP.3,0.9939305,False
MOR,MOR.2,MOR.4,0.99402463,False
DOP,DOP.1,DOP.3,0.99475574,False
LEP,LEP.1,LEP.3,0.99481237,False
DOO,DOO.1,DOO.2,0.9957966,False
LEP,LEP.2,LEP.3,0.9959514,False
MBO,MBO.1,MBO.5,0.9960116,False
AAR,AAR.3,AAR.4,0.9960421,False
BEC,BEC.2,BEC.4,0.9968669,False
LEP,LEP.1,LEP.4,0.99695504,False
WOL,WOL.1,WOL.2,0.9975825,False
BAR,BAR.1,BAR.2,0.99797004,False
ATYP,ATYP.2,ATYP.5,0.9981958,False
COND,COND.1,COND.5,0.9983473,False
ALLA,ALLA.1,ALLA.3,1.0007802,False
MARI,MARI.1,MARI.3,1.0010827,False
CRIS,CRIS.3,CRIS.4,1.0010885,False
LEP,LEP.2,LEP.6,1.0012888,False
VAN,VAN.3,VAN.5,1.0015458,False
PRIM,PRIM.4,PRIM.5,1.0020039,False
OCU,OCU.1,OCU.5,1.0026085,False
JOUA,JOUA.3,JOUA.5,1.0031402,False
MAP,MAP.4,MAP.5,1.0042149,False
MARI,MARI.2,MARI.3,1.0044026,False
KAW,KAW.3,KAW.5,1.0050135,False
ATYP,ATYP.2,ATYP.3,1.0052845,False
LOE,LOE.1,LOE.3,1.0056839,False
SPO,SPO.2,SPO.5,1.0059685,False
JOUA,JOUA.3,JOUA.4,1.0062791,False
SPI,SPI.2,SPI.4,1.0066828,False
DIA,DIA.4,DIA.5,1.0073152,False
AIC,AIC.2,AIC.5,1.0074009,False
JOUA,JOUA.1,JOUA.3,1.0077826,False
HYPO,HYPO.1,HYPO.4,1.008707,False
CAH,CAH.1,CAH.3,1.0096833,False
ALLA,ALLA.3,ALLA.5,1.0099716,False
AIC,AIC.3,AIC.4,1.0106227,False
ALL,ALL.3,ALL.4,1.0110803,False
MOR,MOR.3,MOR.4,1.0110841,False
KAW,KAW.1,KAW.4,1.0112596,False
ANG,ANG.1,ANG.2,1.012714,False
ZEL,ZEL.1,ZEL.4,1.0158154,False
LEI,LEI.3,LEI.5,1.015956,False
CAH,CAH.2,CAH.4,1.0163475,False
PRO,PRO.2,PRO.3,1.0190305,False
PRIM,PRIM.3,PRIM.5,1.0195851,False
BART,BART.2,BART.4,1.0211991,False
CAH,CAH.4,CAH.5,1.0235455,False
CAN,CAN.1,CAN.5,1.0237985,False
ATYP,ATYP.1,ATYP.5,1.0238842,False
COM,COM.1,COM.3,1.0242833,False
MOR,MOR.4,MOR.5,1.0250524,False
MOR,MOR.1,MOR.4,1.0268414,False
FANC,FANC.1,FANC.5,1.0270524,False
CYS,CYS.1,CYS.3,1.0274051,False
VAN,VAN.2,VAN.4,1.0278205,False
JOUA,JOUA.2,JOUA.4,1.0284387,False
ODO,ODO.4,ODO.5,1.0285586,False
ALS,ALS.1,ALS.5,1.0290436,False
JOUA,JOUA.2,JOUA.5,1.030002,False
POM,POM.2,POM.3,1.0324563,False
SAND,SAND.2,SAND.3,1.0326338,False
BAR,BAR.2,BAR.3,1.0335631,False
IMMU,IMMU.2,IMMU.4,1.0338141,False
PRO,PRO.2,PRO.5,1.0358386,False
HYPO,HYPO.3,HYPO.4,1.0375719,False
CAH,CAH.1,CAH.4,1.038599,False
ODO,ODO.1,ODO.5,1.0387188,False
HYPO,HYPO.1,HYPO.2,1.039098,False
LEP,LEP.2,LEP.4,1.0397266,False
CYS,CYS.2,CYS.3,1.0406644,False
MARI,MARI.4,MARI.5,1.0407839,False
BAR,BAR.4,BAR.5,1.0418475,False
CAH,CAH.3,CAH.4,1.0419399,False
PRO,PRO.1,PRO.3,1.044437,False
CRIS,CRIS.1,CRIS.4,1.0453571,False
SUL,SUL.3,SUL.5,1.0466385,False
USHB,USHB.3,USHB.4,1.0467409,False
POM,POM.1,POM.5,1.0468361,False
ALS,ALS.1,ALS.3,1.0519538,False
IMMU,IMMU.1,IMMU.2,1.052,False
ALL,ALL.4,ALL.5,1.0535085,False
KAW,KAW.4,KAW.5,1.0553906,False
MAP,MAP.1,MAP.4,1.0560479,False
USHB,USHB.4,USHB.5,1.056442,False
GLU,GLU.2,GLU.5,1.05651,False
LEI,LEI.2,LEI.5,1.0567505,False
KAW,KAW.1,KAW.2,1.057694,False
POM,POM.1,POM.4,1.0579145,False
MARI,MARI.2,MARI.5,1.0581447,False
BART,BART.1,BART.5,1.0615528,False
LEI,LEI.1,LEI.3,1.0619341,False
MAP,MAP.1,MAP.5,1.0644872,False
WOL,WOL.1,WOL.5,1.064539,False
ALS,ALS.1,ALS.4,1.0645915,False
POM,POM.3,POM.4,1.0651846,False
LEP,LEP.2,LEP.7,1.0665028,False
POM,POM.1,POM.3,1.0669596,False
ZEL,ZEL.4,ZEL.5,1.0670091,False
COM,COM.1,COM.2,1.0694344,False
HYPO,HYPO.2,HYPO.3,1.0705452,False
JUV,JUV.1,JUV.4,1.0746225,False
JOUA,JOUA.4,JOUA.5,1.0746827,False
MAP,MAP.1,MAP.3,1.0779183,False
AIC,AIC.1,AIC.3,1.0798941,False
VAN,VAN.1,VAN.4,1.0911175,False
CAN,CAN.1,CAN.3,1.0912727,False
IMMU,IMMU.2,IMMU.5,1.0955912,False
CYS,CYS.2,CYS.5,1.097092,False
CRIS,CRIS.2,CRIS.4,1.097669,False
BAR,BAR.3,BAR.4,1.1025419,False
FANC,FANC.1,FANC.3,1.1122992,False
MAP,MAP.2,MAP.4,1.1154335,False
TYR,TYR.1,TYR.5,1.1158333,False
VAN,VAN.3,VAN.4,1.1229373,False
DOP,DOP.2,DOP.3,1.1303569,False
LEI,LEI.2,LEI.4,1.1573976,False
