subset,n_images,n_diseases,separation,null_mean,null_sd,z_vs_null,p
all frontal images,321,81,-1.3379981987863747,-0.03148523844921779,0.12250132283984591,-10.66529674985835,0.0004997501249375312
near-duplicates removed,321,81,-1.3379981987863747,-0.03277055310451355,0.11861731567550735,-11.003685577006955,0.0004997501249375312
same-patient images removed,253,67,-1.1326497125426354,-0.014172791407707837,0.13688147491198446,-8.1711343470993,0.0004997501249375312
"same-patient removed, short side >= 128 px",199,53,-1.0626543080012674,-0.021335626230878722,0.1540458410940962,-6.759797436753371,0.0004997501249375312
"same-patient removed, short side >= 160 px",140,39,-1.388411730180227,-0.0755512437753334,0.1971132358378479,-6.6604380006469865,0.0004997501249375312
"same-patient removed, short side >= 224 px",51,15,-1.7239526471842446,-0.07265168403357947,0.3416846291000573,-4.832821913879848,0.0004997501249375312
