omim,disease,hpo_id,freq_value
OMIM:136140,Floating-Harbor_syndrome,HP:0000486,0.07692307692307693
OMIM:136140,Floating-Harbor_syndrome,HP:0002714,0.5
OMIM:136140,Floating-Harbor_syndrome,HP:0009765,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000161,0.5
OMIM:147920,Kabuki_syndrome_1,HP:0000179,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000215,0.0
OMIM:147920,Kabuki_syndrome_1,HP:0000219,0.7
OMIM:147920,Kabuki_syndrome_1,HP:0000233,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000286,0.16666666666666666
OMIM:147920,Kabuki_syndrome_1,HP:0000316,0.2857142857142857
OMIM:147920,Kabuki_syndrome_1,HP:0000347,0.5
OMIM:147920,Kabuki_syndrome_1,HP:0000348,0.5454545454545454
OMIM:147920,Kabuki_syndrome_1,HP:0000430,0.6666666666666666
OMIM:147920,Kabuki_syndrome_1,HP:0000431,0.8235294117647058
OMIM:147920,Kabuki_syndrome_1,HP:0000437,0.7755102040816326
OMIM:147920,Kabuki_syndrome_1,HP:0000445,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000463,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000486,0.25
OMIM:147920,Kabuki_syndrome_1,HP:0000494,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000506,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000508,0.1111111111111111
OMIM:147920,Kabuki_syndrome_1,HP:0000601,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0000637,0.8709677419354839
OMIM:147920,Kabuki_syndrome_1,HP:0001488,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0002553,0.7333333333333333
OMIM:147920,Kabuki_syndrome_1,HP:0003196,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0007655,0.8636363636363636
OMIM:147920,Kabuki_syndrome_1,HP:0010804,1.0
OMIM:147920,Kabuki_syndrome_1,HP:0012806,0.5
OMIM:148050,KBG_syndrome,HP:0000294,0.8571428571428571
OMIM:148050,KBG_syndrome,HP:0000307,0.2857142857142857
OMIM:148050,KBG_syndrome,HP:0000311,0.5
OMIM:148050,KBG_syndrome,HP:0000316,0.8571428571428571
OMIM:148050,KBG_syndrome,HP:0000325,1.0
OMIM:148050,KBG_syndrome,HP:0000343,1.0
OMIM:148050,KBG_syndrome,HP:0000430,0.5
OMIM:148050,KBG_syndrome,HP:0000463,1.0
OMIM:148050,KBG_syndrome,HP:0000494,0.14285714285714285
OMIM:148050,KBG_syndrome,HP:0000506,0.5
OMIM:148050,KBG_syndrome,HP:0000508,0.8571428571428571
OMIM:148050,KBG_syndrome,HP:0000574,0.5
OMIM:148050,KBG_syndrome,HP:0000637,0.8571428571428571
OMIM:148050,KBG_syndrome,HP:0000664,0.7142857142857143
OMIM:148050,KBG_syndrome,HP:0010804,0.14285714285714285
OMIM:154500,Treacher_Collins_syndrome_1,HP:0000154,0.5
OMIM:154500,Treacher_Collins_syndrome_1,HP:0000160,0.5
OMIM:154500,Treacher_Collins_syndrome_1,HP:0000272,0.9866666666666667
OMIM:154500,Treacher_Collins_syndrome_1,HP:0000347,1.0
OMIM:154500,Treacher_Collins_syndrome_1,HP:0000486,0.5
OMIM:154500,Treacher_Collins_syndrome_1,HP:0000494,1.0
OMIM:154500,Treacher_Collins_syndrome_1,HP:0000508,0.5
OMIM:154500,Treacher_Collins_syndrome_1,HP:0007633,0.5
OMIM:163950,Noonan_syndrome_1,HP:0000286,0.5357142857142857
OMIM:163950,Noonan_syndrome_1,HP:0000316,0.5037037037037037
OMIM:163950,Noonan_syndrome_1,HP:0000325,0.5
OMIM:163950,Noonan_syndrome_1,HP:0000337,0.3177570093457944
OMIM:163950,Noonan_syndrome_1,HP:0000347,0.5
OMIM:163950,Noonan_syndrome_1,HP:0000494,0.6785714285714286
OMIM:163950,Noonan_syndrome_1,HP:0000508,0.5661764705882353
OMIM:176270,Prader-Willi_syndrome,HP:0000219,0.75
OMIM:176270,Prader-Willi_syndrome,HP:0000341,0.55
OMIM:176270,Prader-Willi_syndrome,HP:0000446,0.55
OMIM:176270,Prader-Willi_syndrome,HP:0000486,0.5
OMIM:176270,Prader-Willi_syndrome,HP:0000565,0.17
OMIM:176270,Prader-Willi_syndrome,HP:0000582,0.17
OMIM:176270,Prader-Willi_syndrome,HP:0002714,0.55
OMIM:176270,Prader-Willi_syndrome,HP:0007874,0.55
OMIM:176670,Hutchinson-Gilford_progeria_syndrome,HP:0000272,0.5
OMIM:176670,Hutchinson-Gilford_progeria_syndrome,HP:0000347,0.5
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000160,1.0
