feature,bias_224,iqr_224,bias_160,iqr_160,bias_128,iqr_128,bias_96,iqr_96,bias_64,iqr_64,res_drift_224
eb_thickness_r,-0.021446640343903745,0.12423338772960309,-0.045704022216604495,0.20844777286984062,-0.0576020152450606,0.2817157799995747,-0.1267476919596737,0.39219536975448493,-0.29033654315775553,0.624254113405631,0.021446640343903745
eb_thickness_l,-0.012423261903238125,0.12164511544471421,-0.016224329844086522,0.2083983161946693,-0.027692793330279748,0.2852364174915565,-0.04274878063626684,0.3988737479449096,-0.14014741464776054,0.5811856963252824,0.012423261903238125
eb_thickness_mean,-0.025011291352013465,0.19430153640544276,-0.05613872727168461,0.325878381839272,-0.06877498114131497,0.4552738521945207,-0.11945481940515333,0.6077657919222119,-0.3423323187076722,0.9799463309514289,0.025011291352013465
eb_thickness_asym,0.0058375749647884955,0.1538367601773204,0.021343200776016306,0.2719736261947744,0.03812335745575232,0.3411722289257162,0.06323313005191677,0.4414688856804462,0.1380700713800327,0.7689648589138546,0.0058375749647884955
eb_inter_distance,-0.018626759964318902,0.2340075796631259,0.012513199500934508,0.36756635867889553,0.03933253980019492,0.49003206835433016,0.06129642194866171,0.6882077592147472,-0.026378621885931305,1.0375500580045114,0.018626759964318902
eb_arch_r,0.004555775870898272,0.1516189830416079,-0.0021746619584003275,0.2486707249629685,-0.029715227500214166,0.3185834188805736,-0.05094913124039212,0.40893845373289367,-0.11760593333884131,0.7185014461407604,0.004555775870898272
eb_arch_l,-0.0020110744617324837,0.16250722176484572,-0.00849357393759597,0.2958184424554752,-0.03241023260414431,0.37516376931661,-0.03632124105227863,0.553761272767848,-0.15022672044149976,0.7969838702000224,0.0020110744617324837
eb_arch_mean,-0.009414901942592736,0.24199326728031423,-0.023703928193321316,0.4034276724797155,-0.07455257088710836,0.5616452116048817,-0.08805875648214144,0.6975069090212167,-0.2459163228100928,0.9952360978941428,0.009414901942592736
eb_arch_asym,-0.013909746873200663,0.22558573017483502,-0.01689892942111466,0.3498998320737466,-0.02846723767991323,0.4931779239637621,-0.08742779636233905,0.6749607862197582,-0.05637712739646285,1.0632242397541238,0.013909746873200663
eb_position_r,0.019970032135006862,0.1450941292565438,0.0903887560396385,0.25724712322729665,0.14324160791459922,0.3290964438754945,0.28697993080342155,0.5059155734477034,0.4712604353086224,0.8148660237827845,0.019970032135006862
eb_position_l,0.023114708374839192,0.1534476568110723,0.0878037653930433,0.30022219394620797,0.15439735893613016,0.3625811503523261,0.3019780291362367,0.5587553014469087,0.5546365011301361,0.8951355799309216,0.023114708374839192
eb_position_mean,0.019699262719451903,0.14900719906746926,0.08793477974707284,0.27133613846280424,0.14876837780199198,0.36091159517106053,0.2928928193233137,0.5340285630776107,0.5191814772610446,0.8508845332308148,0.019699262719451903
eb_position_asym,-0.017532714042229378,0.345461810943067,-0.0278586444261821,0.5648468274723286,-0.03877549390592698,0.7299907400393106,-0.07016795339227837,0.9431214094410171,0.08589509739688803,1.4201926957669355,0.017532714042229378
eb_medial_flare_r,-0.051163405870412924,0.17182843285054267,-0.10439766614533347,0.2861489894156734,-0.12066087413356616,0.3545239257790252,-0.17174101538165915,0.50080472252055,-0.17047682131410352,0.903890262581579,0.051163405870412924
eb_medial_flare_l,-0.026616831683007,0.1785713100553293,-0.06370758593816672,0.3127560964814853,-0.08451272805543109,0.4270770775771947,-0.08095290341523974,0.5230394378731807,-0.17539522527505524,0.8788018840134681,0.026616831683007
eb_lateral_thickness_r,0.07648727718681728,0.2520184283769631,0.17130888435583053,0.42744864977025565,0.2299931482115969,0.5666224430686303,0.37296418411525845,0.7708178025785871,0.5100266133262321,1.3175301628380958,0.07648727718681728
eb_lateral_thickness_l,0.07140146821983676,0.23458374310785524,0.1406256930330817,0.4392036438949748,0.1991165523074992,0.5135228512608933,0.2821964830526877,0.7860779663502554,0.43940145615960335,1.1103396667461534,0.07140146821983676
eb_medial_flare_mean,-0.08496761528349775,0.282921051188198,-0.18794980354188456,0.45497932156226567,-0.20940992872229686,0.6312284264997277,-0.2493221429759007,0.8414089046640534,-0.30104712929057764,1.2903921015060058,0.08496761528349775
eb_lateral_thickness_mean,0.09983149313235679,0.2677592021358986,0.21033813613376767,0.47989036062855395,0.29385923044007667,0.6224265617875077,0.40967915285512396,0.857836771936383,0.6008462584076222,1.3424218345818846,0.09983149313235679
eb_lateral_thickness_asym,-0.03198348105546901,0.2800192339945221,-0.09919983604668495,0.4969997679985543,-0.11431093318365065,0.6217752764478592,-0.16555602577852072,0.864117593481563,-0.1365416990820023,1.006352287607296,0.03198348105546901
eye_fissure_length_r,-0.04646667965835173,0.1887909648076088,-0.07887780110675022,0.34050299165544823,-0.10985147147087951,0.42217918277806543,-0.18405802300014162,0.6656171031090931,-0.36709075062112795,0.9623591540546083,0.04646667965835173
eye_fissure_height_r,0.012404116319638982,0.13459617624941367,-0.011158271534073453,0.23728729541314275,-0.06616018497545686,0.3682854243751024,-0.22539723850504967,0.5529519669812486,-0.680734126733685,0.9365107744709121,0.012404116319638982
eye_fissure_length_l,-0.044745583538597214,0.2197742625643128,-0.06222885531888937,0.3711872755983694,-0.0743783366361492,0.4679446645260252,-0.0879812365869573,0.6606712054519273,-0.1675295703475969,1.0676971174749568,0.044745583538597214
eye_fissure_height_l,0.013420556419381259,0.14274381527596885,-0.01211352320820466,0.23568560463798527,-0.09569014700365443,0.37155873210911455,-0.26241060229582963,0.5786224943657088,-0.7282064742397332,0.9639416210644141,0.013420556419381259
eye_fissure_length_mean,-0.05434767997447165,0.27393171842692376,-0.11909271635538013,0.4493962458921123,-0.13814344336848883,0.612535276218058,-0.2082092132388493,0.8781686992877591,-0.3527610650008197,1.36516475641368,0.05434767997447165
eye_fissure_height_mean,0.015806398619156243,0.12969757403840929,-0.008505278270377203,0.24480848078087522,-0.07725412750503328,0.33872294278619197,-0.2311647824223856,0.5619866803406246,-0.6967952747200798,0.9297400797151081,0.015806398619156243
eye_fissure_length_asym,-0.018401788611811132,0.18709167481092476,-0.019586867909313552,0.29565996243945747,-0.02211627342662048,0.40095562737486845,0.0033043885971340125,0.5851882802525443,0.19080931339403936,0.972648912241008,0.018401788611811132
eye_fissure_height_asym,0.017810859731016267,0.2515468608056236,0.04659617051616418,0.36064625445504794,0.11692292888028001,0.5724285134454198,0.25671080425790516,0.8401809853881176,0.4559677251391696,1.3639842490977196,0.017810859731016267
